Accord;Notes;Description
G#m9;G# - B - D# - F# - A#;G# mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
G#Maj9;G# - C - D# - G - A#;G# mineur, est compose d'une tierce mineure et d'une quinte juste
G#11;"G# - C - D# - F# - A# - C# ; G# - B# - D# - F# - A# - C#";G# majeur, est compose d'une tierce majeure et d'une quinte juste
G#m11;G# - B - D# - F# - A# - C#;G# mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
G#Maj11;"G# - C - D# - G - A# - C# ; G# - C - D# - F## - A# - B##";G# mineur, est compose d'une tierce mineure et d'une quinte juste
G#13;"G# - C - D# - F# - A# - C# - F ; G# - B# - D# - F# - A# - C# - E#";G# majeur, est compose d'une tierce majeure et d'une quinte juste
G#m13;"G# - B - D# - F# - A# - C# - F ; G# - B - D# - F# - A# - C# - E#";G# mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
G#Maj13;"G# - C - D# - G - A# - F ; G# - C - D# - F## - A# - F";G# mineur, est compose d'une tierce mineure et d'une quinte juste
G#add;"G# - C - D# - A# ; G# - B# - D# - A#";G# add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
G#7-5;"G# - C - D - F# ; G# - B# - D - F#";G# septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
G#7+5;"G# - C - E - F# ; G# - B# - E - F#";G# septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
G#sus;G# - C# - D#;G# suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
G#dim;G# - B - D;G# diminue, est compose d'une tierce mineure et d'une quinte diminuee
G#dim7;"G# -  B - D -  F ; G# -  B - D -  E#";G# diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
G#m7b5;G# - B - D - F#;G# mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
G#aug;"G# - C - E ; G# - B# - E";G# augmente, est compose d'une tierce majeure et d'une quinte augmentee
G#aug7;"G# - C - E - F# ; G# - B# - E - F#";G# augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
Ab;Ab - C - Eb;Ab majeur, est compose d'une tierce majeure et d'une quinte juste
Abm;Ab - B - Eb;Ab mineur, est compose d'une tierce mineure et d'une quinte juste
Ab7;Ab - C - Eb - Gb;Ab 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Abm7;"Ab - B - Eb - Gb ; Ab - Cb - Eb - Gb";Ab mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
AbMaj7;Ab - C - Eb - G;Ab mineur, est compose d'une tierce mineure et d'une quinte juste
AbmM7;"Ab - B - Eb - G ; Ab - Cb - Eb - G";Ab mineur, est compose d'une tierce mineure et d'une quinte juste
Ab6;Ab - C - Eb - F;Ab sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Abm6;"Ab - B - Eb - F ; Ab - Cb - Eb - F";Ab mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
Ab6/9;Ab - C - Eb - F - Bb;Ab sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
Ab5;Ab -  Eb;Ab quinte juste, est compose uniquement de la fondamentale et de la quinte juste
Ab9;Ab - C - Eb - Gb - Bb;Ab majeur, est compose d'une tierce majeure et d'une quinte juste
Abm9;"Ab - B - Eb - Gb - Bb ; Ab - Cb - Eb - Gb - Bb";Ab mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
AbMaj9;Ab - C - Eb - G - Bb;Ab mineur, est compose d'une tierce mineure et d'une quinte juste
Ab11;Ab - C - Eb - Gb - Bb - Db;Ab majeur, est compose d'une tierce majeure et d'une quinte juste
Abm11;"Ab - B - Eb - Gb - Bb - Db ; Ab - Cb - Eb - Gb - Bb - Db";Ab mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
AbMaj11;Ab - C - Eb - G - Bb - Db;Ab mineur, est compose d'une tierce mineure et d'une quinte juste
Ab13;Ab - C - Eb - Gb - Bb - Db - F;Ab majeur, est compose d'une tierce majeure et d'une quinte juste
Abm13;"Ab - B - Eb - Gb - Bb - Db - F ; Ab - Cb - Eb - Gb - Bb - Db - F";Ab mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
AbMaj13;Ab - C - Eb - G - Bb - F;Ab mineur, est compose d'une tierce mineure et d'une quinte juste
Abadd;Ab - C - Eb - Bb;Ab add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
Ab7-5;Ab - C - D - Gb;Ab septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
Ab7+5;Ab - C - E - Gb;Ab septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Absus;Ab - Db - Eb;Ab suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Abdim;Ab - B - D;Ab diminue, est compose d'une tierce mineure et d'une quinte diminuee
Abdim7;Ab - B -  D - F;Ab diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Abm7b5;Ab - B -  D - Gb;Ab mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Abaug;Ab - C - E;Ab augmente, est compose d'une tierce majeure et d'une quinte augmentee
Abaug7;Ab - C - E - Gb;Ab augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
A;A - C# - E;A majeur, est compose d'une tierce majeure et d'une quinte juste
Am;A - C - E;A mineur, est compose d'une tierce mineure et d'une quinte juste
A7;A - C# - E - G;A 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Am7;A - C - E - G;A mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
AMaj7;A - C# - E - G#;A mineur, est compose d'une tierce mineure et d'une quinte juste
AmM7;A - C - E - G#;A mineur, est compose d'une tierce mineure et d'une quinte juste
A6;A - C# - E - F#;A sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Am6;A - C - E - F#;A mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
A6/9;A - C# - E - F# - B;A sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
A5;A -  E;A quinte juste, est compose uniquement de la fondamentale et de la quinte juste
A9;A - C# - E - G - B;A majeur, est compose d'une tierce majeure et d'une quinte juste
Am9;A - C - E - G - B;A mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
AMaj9;A - C# - E - G# - B;A mineur, est compose d'une tierce mineure et d'une quinte juste
A11;A - C# - E - G - B - D;A majeur, est compose d'une tierce majeure et d'une quinte juste
Am11;A - C - E - G - B - D;A mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
AMaj11;A - C# - E - G# - B - D;A mineur, est compose d'une tierce mineure et d'une quinte juste
A13;A - C# - E - G - B - D - F#;A majeur, est compose d'une tierce majeure et d'une quinte juste
Am13;A - C - E - G - B - D - F#;A mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
AMaj13;A - C# - E - G# - B - F#;A mineur, est compose d'une tierce mineure et d'une quinte juste
Aadd;A - C# - E - B;A add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
A7-5;A - C# - Eb - G;A septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
A7+5;A - C# - F - G;A septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Asus;A - D - E;A suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Adim;A - C - Eb;A diminue, est compose d'une tierce mineure et d'une quinte diminuee
Adim7;A - C -  Eb - Gb;A diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Am7b5;A - C - Eb - G;A mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Aaug;A - C# - F;A augmente, est compose d'une tierce majeure et d'une quinte augmentee
Aaug7;A - C# - F - G;A augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
A#;"A# - D - F ; A# - C## - E#";A# majeur, est compose d'une tierce majeure et d'une quinte juste
A#m;"A# - C# - F ; A# - C# - E#";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#7;A# - D - F - G#;A# 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
A#m7;"A# - C# - F - G# ; A# - C# - E# - G#";A# mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
A#Maj7;"A# - D - F - A ; A# - D - E# - G##";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#mM7;"A# - C# - F - A ; A# - C# - E# - A";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#6;A# - D - F - G;A# sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
A#m6;"A# - C# - F - G ; A# - C# - E# - G";A# mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
A#6/9;"A# - D - F - G - C ; A# - C## - E# - F## - B#";A# sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
A#5;"A# -  F ; A# -  E#";A# quinte juste, est compose uniquement de la fondamentale et de la quinte juste
A#9;"A# - D - F - G# - C ; A# - C## - E# - G# - B#";A# majeur, est compose d'une tierce majeure et d'une quinte juste
A#m9;"A# - C# - F - G# - C ; A# - C# - E# - G# - B#";A# mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
A#Maj9;"A# - D - F - A - C ; A# - D - E# - G## - B#";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#11;"A# - D - F - G# - C - D# ; A# - C## - E# - G# - B# - D#";A# majeur, est compose d'une tierce majeure et d'une quinte juste
A#m11;"A# - C# - F - G# - C - D# ; A# - C# - E# - G# - B# - D#";A# mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
A#Maj11;"A# - D - F - A - C -  D# ; A# - C## - E# - G## - B# - D#";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#13;"A# - D - F - G# - C - D# - G ; A# - C## - E# - G# - B# - D# - F##";A# majeur, est compose d'une tierce majeure et d'une quinte juste
A#m13;"A# - C# - F - G# - C - D# - G ; A# - C# - E# - G# - B# - D# - F##";A# mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
A#Maj13;"A# - D - F - A - C -  G ; A# - D - E# - G## - C - F##";A# mineur, est compose d'une tierce mineure et d'une quinte juste
A#add;"A# - D - F - C ; A# - C## - E# - B#";A# add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
A#7-5;"A# - D - E - G# ; A# - C## - D# - G#";A# septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
A#7+5;"A# - D - F# - G# ; A# - C## - F# - G#";A# septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
A#sus;"A# - D# - F ; A# - D# - E#";A# suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
A#dim;A# - Db - E;A# diminue, est compose d'une tierce mineure et d'une quinte diminuee
A#dim7;"A# - Db -  E - G ; A# - Db -  E - F##";A# diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
A#m7b5;A# - C# - E - G#;A# mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
A#aug;"A# - D - F# ; A# - C## - F#";A# augmente, est compose d'une tierce majeure et d'une quinte augmentee
A#aug7;"A# - D - F# - G# ; A# - C## - F# - G#";A# augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
Bb;Bb - D - F;Bb majeur, est compose d'une tierce majeure et d'une quinte juste
Bbm;Bb - Db - F;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
Bb7;Bb - D - F - Ab;Bb 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Bbm7;Bb - Db - F - Ab;Bb mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
BbMaj7;Bb - D - F - A;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
BbmM7;Bb - Db - F - A;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
Bb6;Bb - D - F - G;Bb sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Bbm6;Bb - Db - F - G;Bb mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
Bb6/9;Bb - D - F - G - C;Bb sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
Bb5;Bb -  F;Bb quinte juste, est compose uniquement de la fondamentale et de la quinte juste
Bb9;Bb - D - F - Ab - C;Bb majeur, est compose d'une tierce majeure et d'une quinte juste
Bbm9;Bb - Db - F - Ab - C;Bb mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
BbMaj9;Bb - D - F - A - C;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
Bb11;Bb - D - F - Ab - C - Eb;Bb majeur, est compose d'une tierce majeure et d'une quinte juste
Bbm11;Bb - Db - F - Ab - C - Eb;Bb mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
BbMaj11;Bb - D - F - A - C -  Eb;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
Bb13;Bb - D - F - Ab - C - Eb - G;Bb majeur, est compose d'une tierce majeure et d'une quinte juste
Bbm13;Bb - Db - F - Ab - C - Eb - G;Bb mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
BbMaj13;Bb - D - F - A - C -  G;Bb mineur, est compose d'une tierce mineure et d'une quinte juste
Bbadd;Bb - D - F - C;Bb add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
Bb7-5;Bb - D - E - Ab;Bb septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
Bb7+5;Bb - D - F# - Ab;Bb septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Bbsus;Bb - Eb - F;Bb suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Bbdim;Bb - Db - E;Bb diminue, est compose d'une tierce mineure et d'une quinte diminuee
Bbdim7;Bb - Db - E - G;Bb diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Bbm7b5;Bb - Db -  E - Ab;Bb mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Bbaug;Bb - D - Gb;Bb augmente, est compose d'une tierce majeure et d'une quinte augmentee
Bbaug7;Bb - D - F# - Ab;Bb augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
;;
;;
B;B - D# - F#;B majeur, est compose d'une tierce majeure et d'une quinte juste
Bm;B - D - F#;B mineur, est compose d'une tierce mineure et d'une quinte juste
B7;B - D# - F# - A;B 7eme, est compose d'une tierce majeure, d'une quinte juste et d'une septieme mineure
Bm7;B - D - F# - A;B mineur 7eme, est compose d'une tierce mineure, d'une quinte juste et d'une septieme mineure
BMaj7;B - D# - F# - A#;B mineur, est compose d'une tierce mineure et d'une quinte juste
BmM7;B - D - F# - A#;B mineur, est compose d'une tierce mineure et d'une quinte juste
B6;B - D# - F# - G#;B sixte, est compose d'une tierce majeure, d'une quinte juste et d'une sixte majeure
Bm6;B - D - F# - G#;B mineur sixte, est compose d'une tierce mineure, d'une quinte juste et d'une sixte majeure
B6/9;B - D# - F# - G# - C#;B sixte et neuvieme, est compose d'une tierce majeure, d'une quinte juste, d'une sixte majeure et d'une neuvieme majeure
B5;B -  F#;B quinte juste, est compose uniquement de la fondamentale et de la quinte juste
B9;B - D# - F# - A - C#;B majeur, est compose d'une tierce majeure et d'une quinte juste
Bm9;B - D - F# - A - C#;B mineur neuvieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une neuvieme majeure
BMaj9;B - D# - F# - A# - C#;B mineur, est compose d'une tierce mineure et d'une quinte juste
B11;B - D# - F# - A - C# - E;B majeur, est compose d'une tierce majeure et d'une quinte juste
Bm11;B - D - F# - A - C# - E;B mineur onzieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une onzieme juste
BMaj11;B - D# - F# - A# - C# - E;B mineur, est compose d'une tierce mineure et d'une quinte juste
B13;B - D# - F# - A - C# - E - G#;B majeur, est compose d'une tierce majeure et d'une quinte juste
Bm13;B - D - F# - A - C# - E - G#;B mineur treizieme, est compose d'une tierce mineure, d'une quinte juste, d'une septieme mineure et d'une treizieme majeure
BMaj13;B - D# - F# - A# - C# - G#;B mineur, est compose d'une tierce mineure et d'une quinte juste
Badd;B - D# - F# - C#;B add, est compose d'une tierce majeure, d'une quinte juste et d'une note ajoutee (ex. 2, 4 ou 6)
B7-5;B - D# - F - A;B septieme quinte diminuee, est compose d'une tierce majeure, d'une quinte diminuee et d'une septieme mineure
B7+5;B - D# - G - A;B septieme quinte augmentee, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
Bsus;B - E - F#;B suspendu, est compose de la fondamentale, de la quarte juste et de la quinte juste
Bdim;B - D - F;B diminue, est compose d'une tierce mineure et d'une quinte diminuee
Bdim7;B - D - F - Ab;B diminue septieme, est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme diminuee
Bm7b5;B - D -  F - A;B mineur septieme quinte diminuee (semi-diminue), est compose d'une tierce mineure, d'une quinte diminuee et d'une septieme mineure
Baug;B - D# - G;B augmente, est compose d'une tierce majeure et d'une quinte augmentee
Baug7;B - D# - G - A;B augmente septieme, est compose d'une tierce majeure, d'une quinte augmentee et d'une septieme mineure
